Team,Match Up,Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
GSW,GSW @ CLE,2018-06-08,W,240,108,39,86,0.453,14,38,0.368,16,16,1.000,10,34,44,25,7,13,10,24,23
CLE,CLE vs. GSW,2018-06-08,L,240,85,30,87,0.345,8,27,0.296,17,25,0.680,17,27,44,21,5,5,11,22,-23
GSW,GSW @ CLE,2018-06-06,W,240,110,42,81,0.519,9,26,0.346,17,19,0.895,6,31,37,27,6,5,11,20,8
CLE,CLE vs. GSW,2018-06-06,L,240,102,40,92,0.435,9,31,0.290,13,17,0.765,15,32,47,20,6,4,14,18,-8
GSW,GSW vs. CLE,2018-06-03,W,240,122,47,82,0.573,15,36,0.417,13,21,0.619,7,34,41,28,3,8,12,25,19
CLE,CLE @ GSW,2018-06-03,L,240,103,37,90,0.411,9,27,0.333,20,26,0.769,16,26,42,25,9,4,11,15,-19
CLE,CLE @ GSW,2018-05-31,L,265,114,44,99,0.444,10,37,0.270,16,22,0.727,19,34,53,18,5,3,12,18,-10
GSW,GSW vs. CLE,2018-05-31,W,265,124,46,90,0.511,13,36,0.361,19,20,0.950,4,34,38,31,10,6,8,18,10
HOU,HOU vs. GSW,2018-05-28,L,240,92,36,90,0.400,7,44,0.159,13,22,0.591,17,27,44,17,13,3,12,17,-9
GSW,GSW @ HOU,2018-05-28,W,240,101,39,80,0.488,16,39,0.410,7,14,0.500,11,31,42,25,9,7,17,22,9
